# Andromeda
8985030461 1   177.28552389   -66.91775046 draw to mu
# Norma
8316044411 0   247.13679332   -47.59503853 move to epsilon
8319017591 1   244.60202820   -50.11257411 draw to gamma 1
8320022901 1   245.30981853   -50.19869033 draw to gamma 2
8318011281 1   241.14517203   -49.27969910 draw to eta
# Octans
9509038541 0   217.53332260   -83.74997329 move to delta
9478014831 1   325.86477787   -77.30445423 draw to nu
9483011571 1   335.49796018   -80.34609874 draw to epsilon
9488010531 1   341.96428050   -81.28379887 draw to beta
9509038541 1   217.53332260   -83.74997329 draw to delta
# Ophiuchus
6838011121 0   262.13423248   -29.88105936 e to 45
6829005771 1   260.78688577   -25.01623188 draw to theta
6825004621 1   261.87538754   -24.18983179 w to 44
6246006641 1   260.52714925   -21.12963245 draw to xi
6232013331 1   257.85978043   -15.74705786 draw to eta
5632010421 1   249.54477210   -10.60336474 draw to zeta
5042009991 1   244.82489345    -4.73662207 draw to epsilon
5037010681 1   243.82956640    -3.73960000 draw to delta
0979021981 1   254.63847056     9.34757732 draw to kappa
1000025081 1   263.94758784    12.54952378 draw to alpha
0423017241 1   266.09707787     4.55970112 draw to beta
6232013331 1   257.85978043   -15.74705786 draw to eta
0423017241 0   266.09707787     4.55970112 move to beta
0420019621 1   267.20540709     2.70222763 draw to gamma
0434051981 1   270.39308119     2.93208582 draw to 67
0434052131 1   271.59592615     2.50509906 draw to 70
0420019621 0   267.20540709     2.70222763 move to gamma
5678009561 1   270.01144118    -9.77355771 draw to nu
# Orion
1321015151 0    91.25473762    20.13644897 move to chi 2
0729019801 1    92.15718273    14.76488324 w to nu
0742024721 1    93.24806606    14.20321474 draw to xi
1322014951 1    93.27962484    19.78492525 draw to 68
0742024721 0    93.24806606    14.20321474 move to xi
0721024681 1    90.85034634     9.64607905 draw to mu
0129018731 1    89.04330337     7.40898100 draw to alpha
4771011881 1    85.42325219    -1.93414858 draw to zeta
5351007601 1    87.15863601    -9.66429898 draw to kappa
5331017521 1    78.85696204    -8.18153607 draw to beta
